ukouyu 吁
uwangkou 吂
ukouqi 吃
uwenkou 各
ukoukou 吅
ukouyao 吆
ukouzi 吇
urenkou 合
ushikou 吉
ukoujin 吊
ukoucun 吋
ukuangkou 同
uxikou 名
uchangkou 后
uzhangkou 吏
ukoutu 吐
upiejiong 向
ukoutuo 吒
ukouxia 吓
ukouye 吔
ukoukou 吕
ukouya 吖
ukouma 吗
ukouwu 吘
ukouhuo 吙
ukouyin 吚
uyinkou 君
ukouchou 吜
uwenkou 吝
utiankou 吞
ukoujin 吟
ukouquan 吠
ukoubi 吡
uxinkou 吢
ukouxin 吣
ukoujie 吤
ukoubu 吥
ubukou 否
ukouba 吧
ukoutun 吨
ukoufen 吩
ukouhua 吪
ujinkou 含
ukoujin 听
ukoukang 吭
ukouyun 吮
uhukou 启
ukouhong 吰
ukouzhi 吱
ukouyin 吲
ukouda 吳
ukoutian 吴
ukoushao 吵
ukounei 吶
ukoujue 吷
ukouji 吸
ukouqian 吹
ukoushu 吺
ukouwu 吻
ukoukong 吼
ukouniu 吽
uwukou 吾
uniukou 吿
ukouya 呀
ukouyun 呁
ukoukou 呂
ukoue 呃
unaigu 呄
ukouwen 呅
ukoumu 呆
ushuikou 呇
ukouwang 呈
ukouba 呉
uniukou 告
ukoufu 呋
ukoudou 呌
ukouyun 呍
ukouchi 呎
ukousheng 呏
ukounei 呐
uyaokou 呑
ukouwu 呒
ukouyi 呓
ukoutai 呔
ukouqu 呕
ukouli 呖
ukoubei 呗
ukoubei 员
ukounei 呙
ukouwen 呚
ukoucang 呛
ukouwu 呜
ukouyi 呝
ukousi 呞
ukouxuan 呟
ukouben 呠
ukoumin 呡
ukouni 呢
ukoumu 呣
ukouling 呤
ukouran 呥
ukouyou 呦
ukoudi 呧
ukuangji 周
ukoushi 呩
ukouxiong 呪
ukouzhan 呫
ukousi 呬
ukoushi 呭
ukouzhi 呮
ukouping 呯
ucikou 呰
ukougua 呱
ukouci 呲
ukouwei 味
ukouju 呴
ukouke 呵
ukounu 呶
ukoujia 呷
ukoupi 呸
ukoushi 呹
ukouhao 呺
ukoushen 呻
ukouhu 呼
urenkou 命
ukoudan 呾
ukouqu 呿
ukouqie 咀
ukougan 咁
ukouza 咂
ukouta 咃
ukouchu 咄
ulikou 咅
ukoubao 咆
ukoubi 咇
ukoufu 咈
ukouyang 咉
ukouhe 咊
ukouzha 咋
uhekou 和
ukoutai 咍
uchukou 咎
ukouyong 咏
ukoufu 咐
ukouda 咑
ukouji 咒
ukouwa 咓
ukouka 咔
ukougu 咕
ukoujia 咖
ukouzuo 咗
ukoubu 咘
ukoulong 咙
ukoudong 咚
ukouning 咛
ukouta 咜
ukousi 咝
ukoukai 咞
ukoubai 咟
ukouer 咠
ukouer 咡
ukoukui 咢
ukouguang 咣
ukouzhai 咤
ukouzhi 咥
ukouyi 咦
ukoulie 咧
ucikou 咨
ukouyang 咩
ukoumi 咪
uchizhi 咫
ukoujiao 咬
ukouji 咭
ukouzhu 咮
ukouge 咯
ukouxun 咰
ukouzi 咱
ukouguan 咲
ukouhai 咳
ukouhui 咴
